user_id,watch_time_hours,avg_session_duration_mins,sessions_per_week,completion_rate,top_genre,genre_list,days_since_last_watch,weekend_activity_ratio
USR-00035,132.15,134.69,11.2,0.711,Action,Action|Thriller|Romance,26,0.56
USR-00036,125.08,109.99,9.3,0.717,Horror,Horror,5,0.23
USR-00037,60.74,57.66,9.0,0.643,Animation,Animation|Comedy|Drama|Horror,3,0.53
USR-00038,139.55,102.43,11.9,0.984,Comedy,Comedy|Thriller|Horror,16,0.78
USR-00039,8.24,24.8,4.5,0.532,Horror,Horror|Reality,3,0.32
USR-00040,43.28,68.89,5.3,0.402,Romance,Romance|Action,26,0.55
USR-00041,7.41,26.84,1.4,0.042,Reality,Reality|Thriller,4,0.32
USR-00042,11.54,11.13,0.8,0.254,Romance,Romance,18,0.58
USR-00043,34.54,32.01,2.7,0.936,Action,Action|Thriller|Documentary|Comedy,22,0.7
USR-00044,16.78,12.55,1.4,0.606,Thriller,Thriller,9,0.29
USR-00045,15.67,41.07,1.4,0.44,Action,Action,24,0.43
USR-00046,41.36,30.63,4.0,0.683,Documentary,Documentary|Sci-Fi|Animation,22,0.5
USR-00047,39.36,38.13,7.5,0.764,Sci-Fi,Sci-Fi|Action|Horror|Documentary,13,0.45
USR-00048,0.79,1.0,0.7,0.159,Thriller,Thriller|Drama,11,0.42
USR-00049,120.48,80.78,10.7,0.92,Sci-Fi,Sci-Fi|Romance,19,0.61
USR-00050,111.6,126.33,9.4,0.843,Documentary,Documentary,0,0.4
USR-00051,119.93,106.31,9.9,0.74,Action,Action|Romance,28,0.37
USR-00052,16.16,25.53,2.2,0.299,Horror,Horror,7,0.56
USR-00053,8.46,13.99,3.7,0.284,Horror,Horror|Documentary,24,0.53
USR-00054,1.44,17.85,3.8,0.123,Action,Action,18,0.4
USR-00055,7.29,31.48,2.5,0.318,Animation,Animation,8,0.75
USR-00056,20.67,54.22,7.3,0.727,Drama,Drama|Action|Thriller|Documentary,24,0.6
USR-00057,19.81,43.38,5.1,0.41,Drama,Drama|Comedy,25,0.69
USR-00058,130.77,90.92,16.0,0.949,Thriller,Thriller|Reality|Sci-Fi,20,0.25
USR-00059,164.2,93.66,11.8,0.925,Comedy,Comedy,24,0.32
USR-00060,14.84,19.13,2.3,0.325,Horror,Horror|Action,5,0.8
USR-00061,52.05,55.69,2.8,0.495,Thriller,Thriller|Comedy|Romance|Action,11,0.44
USR-00062,62.68,31.54,4.0,0.805,Reality,Reality|Documentary,8,0.48
USR-00063,6.61,19.92,2.9,0.204,Documentary,Documentary,25,0.29
USR-00064,7.24,18.45,3.4,0.488,Reality,Reality,11,0.73
USR-00065,62.1,63.11,5.3,0.699,Action,Action|Thriller|Horror,21,0.48
USR-00066,42.65,69.61,5.0,0.805,Animation,Animation|Horror|Reality|Action,15,0.21
USR-00067,30.74,42.3,6.9,0.568,Drama,Drama|Comedy|Romance|Documentary,26,0.2
USR-00068,100.33,103.82,16.3,0.824,Horror,Horror,2,0.26
USR-00069,51.81,63.49,5.6,0.888,Reality,Reality|Sci-Fi|Romance,6,0.63
USR-00070,81.62,69.36,11.8,0.675,Sci-Fi,Sci-Fi|Reality,22,0.26
USR-00071,28.32,57.53,8.4,0.603,Horror,Horror|Reality|Comedy|Drama,1,0.65
USR-00072,57.2,145.76,4.1,0.997,Action,Action|Thriller,19,0.41
USR-00073,67.96,93.59,10.2,0.821,Horror,Horror|Sci-Fi|Action,24,0.55
USR-00074,119.23,81.94,9.2,0.627,Documentary,Documentary|Romance|Thriller,7,0.4
USR-00075,62.4,60.69,5.1,0.77,Documentary,Documentary|Action|Sci-Fi,22,0.46
USR-00076,54.58,49.97,7.5,0.895,Comedy,Comedy|Sci-Fi|Action,24,0.64
USR-00077,18.76,28.26,2.8,0.439,Comedy,Comedy,15,0.23
USR-00078,38.04,51.98,4.0,0.71,Sci-Fi,Sci-Fi|Action|Reality,11,0.43
USR-00079,7.12,15.51,3.5,0.296,Horror,Horror,0,0.45
USR-00080,8.71,25.73,1.4,0.166,Comedy,Comedy,27,0.22
USR-00081,70.89,16.27,6.6,0.519,Documentary,Documentary|Sci-Fi,3,0.26
USR-00082,13.9,27.53,2.8,0.055,Horror,Horror,3,0.29
USR-00083,175.26,128.49,7.0,0.837,Documentary,Documentary|Reality|Sci-Fi,13,0.29
USR-00084,155.89,91.51,11.5,0.799,Animation,Animation|Romance|Sci-Fi,16,0.6
USR-00085,149.28,86.9,16.3,0.884,Romance,Romance,18,0.55
USR-00086,13.16,12.17,5.1,0.096,Horror,Horror,26,0.6
USR-00087,17.35,34.84,3.9,0.795,Reality,Reality|Horror,19,0.45
USR-00088,146.81,105.05,15.4,0.76,Sci-Fi,Sci-Fi,27,0.51
USR-00089,32.74,51.32,5.8,0.748,Comedy,Comedy|Reality,10,0.37
USR-00090,77.8,110.42,10.4,0.645,Sci-Fi,Sci-Fi,24,0.59
USR-00091,7.58,38.88,2.0,0.012,Action,Action,22,0.24
USR-00092,34.17,48.36,3.5,0.435,Documentary,Documentary|Horror,14,0.59
USR-00093,33.81,58.05,8.4,0.562,Animation,Animation|Drama|Sci-Fi,22,0.38
USR-00094,43.02,48.41,9.2,0.527,Thriller,Thriller|Sci-Fi|Reality|Comedy,22,0.48
USR-00095,4.91,25.31,2.1,0.441,Horror,Horror,11,0.35
USR-00096,21.0,66.15,4.6,0.691,Thriller,Thriller|Animation,27,0.66
USR-00097,129.54,74.31,11.6,0.797,Documentary,Documentary|Horror|Action,25,0.57
USR-00098,126.32,121.72,12.7,0.718,Thriller,Thriller|Comedy,13,0.45
USR-00099,55.8,219.93,4.8,0.899,Thriller,Thriller|Comedy,26,0.74
USR-00100,70.75,90.79,5.1,0.971,Thriller,Thriller|Action,23,0.66
USR-00101,14.94,14.33,1.4,0.283,Action,Action,9,0.35
USR-00102,36.83,56.04,3.3,0.551,Horror,Horror|Sci-Fi|Comedy,5,0.76
USR-00103,82.78,147.12,3.2,0.94,Action,Action|Sci-Fi,20,0.36
USR-00104,8.13,24.85,2.5,0.302,Documentary,Documentary,7,0.61
USR-00105,4.31,15.58,1.5,0.109,Documentary,Documentary,25,0.23
USR-00106,40.65,45.06,6.5,0.79,Horror,Horror|Action|Documentary,4,0.31
USR-00107,44.87,19.12,3.5,0.856,Horror,Horror|Reality|Documentary|Action,29,0.78
USR-00108,124.62,109.39,15.7,0.876,Sci-Fi,Sci-Fi|Reality|Comedy,5,0.79
USR-00109,59.68,134.33,4.8,0.961,Comedy,Comedy|Thriller,22,0.49
USR-00110,32.81,48.53,8.4,0.742,Comedy,Comedy|Drama,0,0.53
USR-00111,82.54,96.67,12.6,0.83,Romance,Romance|Thriller,24,0.59
USR-00112,55.03,34.95,6.1,0.739,Drama,Drama|Animation|Documentary|Horror,4,0.65
USR-00113,33.11,41.59,6.5,0.474,Drama,Drama|Romance,23,0.61
USR-00114,132.55,87.32,10.2,0.809,Drama,Drama|Action|Sci-Fi,28,0.37
USR-00115,93.53,130.65,4.3,0.782,Action,Action|Sci-Fi,16,0.41
USR-00116,14.88,20.39,2.8,0.051,Action,Action|Comedy,2,0.39
USR-00117,12.82,26.9,0.6,0.15,Action,Action,6,0.31
USR-00118,46.29,27.29,5.8,0.758,Sci-Fi,Sci-Fi|Animation|Documentary,12,0.39
USR-00119,12.14,16.57,2.5,0.371,Romance,Romance|Action,12,0.25
USR-00120,60.25,51.99,3.4,0.626,Animation,Animation|Romance|Sci-Fi,3,0.77
USR-00121,5.43,19.37,2.6,0.044,Drama,Drama,28,0.76
USR-00122,136.37,111.95,14.2,0.746,Animation,Animation|Comedy|Action,23,0.68
USR-00123,24.75,58.09,6.4,0.887,Comedy,Comedy|Romance|Action|Thriller,11,0.41
USR-00124,109.88,92.15,8.7,0.886,Drama,Drama,20,0.6
USR-00125,32.72,61.22,5.3,0.877,Reality,Reality|Action|Comedy,10,0.54
USR-00126,71.15,56.53,4.9,0.634,Romance,Romance|Comedy,17,0.59
USR-00127,128.32,80.11,13.7,0.728,Romance,Romance|Thriller|Documentary,27,0.47
USR-00128,148.18,109.52,21.3,0.77,Reality,Reality|Sci-Fi|Animation,4,0.28
USR-00129,61.31,57.95,5.7,0.448,Romance,Romance|Action,19,0.24
USR-00130,147.3,95.68,13.8,0.853,Sci-Fi,Sci-Fi|Romance|Drama,29,0.51
USR-00131,75.06,164.64,2.9,0.977,Action,Action|Sci-Fi,8,0.41
USR-00132,41.51,48.85,6.4,0.681,Documentary,Documentary|Animation|Romance|Comedy,29,0.35
USR-00133,63.9,37.13,4.0,0.923,Animation,Animation|Reality|Drama|Action,4,0.61
USR-00134,46.87,41.17,2.9,0.447,Animation,Animation|Drama|Romance,28,0.74
USR-00135,126.78,96.5,17.6,0.723,Horror,Horror,2,0.38
USR-00136,58.53,98.2,3.2,0.922,Comedy,Comedy|Drama,20,0.7
USR-00137,37.58,50.98,7.6,0.789,Romance,Romance|Sci-Fi|Drama,20,0.65
USR-00138,12.47,19.6,0.5,0.044,Thriller,Thriller|Romance,12,0.45
USR-00139,156.85,90.16,11.7,0.833,Animation,Animation|Sci-Fi|Romance,29,0.78
USR-00140,39.89,46.61,3.4,0.675,Drama,Drama|Romance|Horror,23,0.46
USR-00141,61.59,40.07,5.2,0.732,Drama,Drama|Action|Romance,23,0.34
USR-00142,63.08,157.09,3.1,0.757,Sci-Fi,Sci-Fi|Drama,9,0.48
USR-00143,52.37,75.96,8.7,0.268,Comedy,Comedy|Sci-Fi,1,0.5
USR-00144,54.16,12.94,5.6,0.797,Horror,Horror|Comedy|Animation|Reality,14,0.7
USR-00145,48.98,46.34,5.5,0.529,Sci-Fi,Sci-Fi|Horror,21,0.24
USR-00146,41.53,53.92,5.5,0.876,Horror,Horror|Romance|Action|Thriller,24,0.4
USR-00147,52.66,24.09,4.7,0.75,Romance,Romance|Thriller,7,0.5
USR-00148,54.85,34.09,6.1,0.738,Romance,Romance|Thriller,9,0.57
USR-00149,116.64,121.22,11.4,0.835,Comedy,Comedy|Documentary,21,0.7
USR-00150,10.89,23.52,1.8,0.398,Horror,Horror,28,0.56
USR-00151,91.37,127.72,2.8,0.882,Comedy,Comedy|Sci-Fi,8,0.22
USR-00152,137.44,73.47,14.2,0.846,Reality,Reality|Horror,28,0.39
USR-00153,57.76,55.89,7.6,0.679,Drama,Drama|Comedy,27,0.73
USR-00154,136.73,63.25,13.9,0.904,Horror,Horror|Comedy|Romance,1,0.67
USR-00155,9.75,33.47,3.8,0.157,Reality,Reality,12,0.49
USR-00156,65.94,59.52,10.8,0.448,Romance,Romance|Documentary,23,0.65
USR-00157,13.23,12.35,1.4,0.187,Thriller,Thriller|Documentary,20,0.24
USR-00158,11.74,17.34,2.3,0.118,Animation,Animation|Documentary,26,0.7
USR-00159,13.15,27.27,3.2,0.182,Drama,Drama|Sci-Fi,24,0.68
USR-00160,79.62,58.88,17.0,0.847,Reality,Reality|Documentary,21,0.35
USR-00161,108.59,157.7,4.9,0.826,Thriller,Thriller|Sci-Fi,0,0.63
USR-00162,120.13,90.3,13.2,0.818,Drama,Drama,22,0.48
USR-00163,67.97,92.74,13.5,0.978,Thriller,Thriller|Action,24,0.67
USR-00164,46.2,35.5,7.1,0.793,Animation,Animation|Documentary,23,0.49
USR-00165,65.25,55.78,5.8,0.231,Drama,Drama|Thriller|Documentary,5,0.28
USR-00166,5.54,12.59,1.2,0.362,Drama,Drama|Romance,19,0.67
USR-00167,13.34,18.53,2.1,0.115,Drama,Drama,13,0.58
USR-00168,55.45,59.03,7.8,0.593,Reality,Reality|Comedy|Thriller,8,0.61
USR-00169,136.91,138.76,4.1,0.896,Comedy,Comedy|Drama,8,0.4
USR-00170,33.64,19.37,7.3,0.947,Thriller,Thriller|Horror,29,0.68
USR-00171,42.33,56.37,5.5,0.601,Documentary,Documentary|Horror,7,0.37
USR-00172,56.39,49.55,7.2,0.503,Thriller,Thriller|Romance,13,0.48
USR-00173,88.41,166.38,5.1,0.864,Sci-Fi,Sci-Fi|Action,4,0.48
USR-00174,64.43,71.09,16.1,0.567,Sci-Fi,Sci-Fi|Horror,21,0.75
USR-00175,141.67,60.46,11.5,0.567,Drama,Drama|Animation,14,0.51
USR-00176,59.74,5.62,4.3,0.597,Horror,Horror|Documentary|Reality,15,0.42
USR-00177,71.52,128.04,3.9,0.916,Action,Action|Comedy,25,0.43
USR-00178,75.79,140.13,3.7,0.94,Drama,Drama|Sci-Fi,26,0.41
USR-00179,9.11,12.25,3.4,0.32,Sci-Fi,Sci-Fi|Horror,7,0.22
USR-00180,117.01,152.58,1.7,0.981,Drama,Drama|Comedy,27,0.31
USR-00181,52.92,139.55,4.1,0.716,Sci-Fi,Sci-Fi|Action,3,0.78
USR-00182,55.71,27.24,9.3,0.636,Sci-Fi,Sci-Fi|Drama|Reality,8,0.41
USR-00183,25.82,51.03,3.8,0.629,Sci-Fi,Sci-Fi|Romance|Action|Drama,19,0.5
USR-00184,7.93,17.38,1.3,0.307,Sci-Fi,Sci-Fi,6,0.48
USR-00185,3.16,37.91,1.4,0.253,Action,Action,20,0.47
USR-00186,21.08,29.28,3.9,0.193,Drama,Drama|Documentary,14,0.29
USR-00187,110.51,76.97,12.7,0.872,Documentary,Documentary,19,0.47
USR-00188,13.95,5.78,0.6,0.118,Comedy,Comedy,28,0.59
USR-00189,48.13,63.0,6.9,0.627,Action,Action|Romance|Thriller|Horror,15,0.69
USR-00190,40.6,148.34,4.0,0.922,Thriller,Thriller|Drama,10,0.42
USR-00191,59.92,74.8,14.9,0.603,Drama,Drama,8,0.77
USR-00192,112.82,73.92,9.0,0.886,Horror,Horror,19,0.62
USR-00193,6.66,22.96,2.3,0.172,Animation,Animation,12,0.59
USR-00194,78.97,73.88,10.1,0.57,Sci-Fi,Sci-Fi|Animation,8,0.57
USR-00195,138.06,76.42,15.0,0.931,Thriller,Thriller|Drama,17,0.57
USR-00196,66.45,40.39,5.4,0.532,Action,Action|Reality|Horror|Romance,14,0.39
USR-00197,99.35,140.37,4.0,0.863,Comedy,Comedy|Drama,28,0.49
USR-00198,100.69,102.69,11.5,0.878,Animation,Animation,14,0.68
USR-00199,47.42,77.98,6.0,0.541,Sci-Fi,Sci-Fi|Action,22,0.68
USR-00200,9.17,14.34,1.8,0.282,Action,Action|Romance,13,0.45
USR-00201,97.32,171.4,4.6,0.996,Sci-Fi,Sci-Fi|Comedy,6,0.51
USR-00202,51.23,32.64,5.9,0.658,Sci-Fi,Sci-Fi|Documentary|Reality,6,0.8
USR-00203,105.57,82.09,10.5,0.863,Horror,Horror|Romance|Drama,20,0.49
USR-00204,106.76,105.09,18.8,0.934,Romance,Romance|Reality,18,0.37
USR-00205,113.41,101.3,12.5,0.82,Reality,Reality|Romance|Action,22,0.65
USR-00206,136.76,101.17,10.1,0.903,Drama,Drama,16,0.31
USR-00207,6.77,27.33,1.0,0.326,Sci-Fi,Sci-Fi|Drama,6,0.72
USR-00208,150.52,74.67,13.0,0.882,Horror,Horror|Romance,16,0.43
USR-00209,96.81,49.28,5.2,0.75,Comedy,Comedy|Thriller,25,0.21
USR-00210,17.27,23.76,1.2,0.145,Animation,Animation|Action,16,0.77
USR-00211,53.0,24.82,5.5,0.802,Comedy,Comedy|Thriller|Sci-Fi,23,0.65
USR-00212,97.61,68.58,10.5,0.982,Reality,Reality|Romance,29,0.57
USR-00213,9.86,23.84,2.4,0.102,Drama,Drama,2,0.24
USR-00214,4.98,32.78,1.2,0.579,Romance,Romance,24,0.63
USR-00215,20.6,33.9,1.7,0.182,Action,Action,18,0.51
USR-00216,136.62,87.34,11.6,0.837,Thriller,Thriller|Documentary|Animation,1,0.24
USR-00217,99.32,98.38,13.2,0.822,Reality,Reality|Documentary,2,0.48
USR-00218,104.59,167.99,4.2,0.915,Action,Action|Thriller,3,0.54
USR-00219,32.27,29.27,4.5,0.63,Drama,Drama|Animation|Action,17,0.74
USR-00220,17.45,33.14,8.0,0.234,Animation,Animation|Romance,29,0.65
USR-00221,31.48,58.02,4.7,0.532,Sci-Fi,Sci-Fi|Action|Drama,6,0.63
USR-00222,11.97,16.13,2.8,0.323,Drama,Drama,25,0.75
USR-00223,70.73,137.69,5.7,0.664,Comedy,Comedy|Drama,19,0.42
USR-00224,32.01,64.22,6.1,0.768,Documentary,Documentary|Action|Comedy,27,0.75
USR-00225,80.2,150.01,4.3,0.96,Drama,Drama|Comedy,18,0.67
USR-00226,131.12,94.92,11.9,0.876,Comedy,Comedy,6,0.56
USR-00227,46.5,22.57,6.2,0.381,Horror,Horror|Action|Documentary|Thriller,24,0.34
USR-00228,12.89,11.45,2.2,0.214,Animation,Animation|Sci-Fi,11,0.49
USR-00229,103.19,97.17,9.3,0.549,Thriller,Thriller,20,0.55
USR-00230,89.18,74.99,14.5,0.541,Animation,Animation,4,0.3
USR-00231,36.05,12.2,7.9,0.7,Action,Action|Thriller|Reality|Documentary,19,0.78
USR-00232,49.72,146.03,3.5,0.913,Thriller,Thriller|Drama,5,0.37
USR-00233,39.29,40.75,7.2,0.397,Sci-Fi,Sci-Fi|Animation,14,0.71
USR-00234,85.01,151.98,3.5,0.971,Drama,Drama|Sci-Fi,12,0.31
USR-00235,9.59,32.7,1.5,0.516,Thriller,Thriller,19,0.38
USR-00236,42.53,32.0,8.5,0.492,Action,Action|Documentary|Reality,20,0.34
USR-00237,13.64,21.71,0.6,0.24,Romance,Romance,12,0.28
USR-00238,177.24,106.96,10.7,0.935,Animation,Animation|Comedy|Documentary,21,0.37
USR-00239,87.67,98.48,12.1,0.934,Thriller,Thriller|Romance,11,0.79
USR-00240,6.89,17.32,1.4,0.301,Documentary,Documentary|Reality,17,0.38
USR-00241,9.94,16.85,4.4,0.202,Documentary,Documentary|Sci-Fi,20,0.67
USR-00242,104.5,105.16,13.2,0.784,Animation,Animation|Horror|Drama,14,0.64
USR-00243,51.41,40.2,9.5,0.684,Sci-Fi,Sci-Fi|Reality|Thriller,11,0.62
USR-00244,2.56,30.86,0.7,0.244,Action,Action|Romance,14,0.39
USR-00245,74.75,144.92,5.3,0.966,Comedy,Comedy|Sci-Fi,19,0.74
USR-00246,1.31,9.44,2.3,0.17,Comedy,Comedy|Horror,28,0.4
USR-00247,58.63,49.35,9.6,0.39,Thriller,Thriller|Comedy,29,0.75
USR-00248,60.87,49.09,2.3,0.515,Thriller,Thriller|Animation|Horror,3,0.54
USR-00249,34.84,34.67,6.7,0.746,Documentary,Documentary|Animation,10,0.72
USR-00250,8.47,26.44,1.3,0.266,Drama,Drama,12,0.25
USR-00251,88.92,146.92,5.6,0.862,Action,Action|Thriller,0,0.35
USR-00252,37.84,56.41,5.3,0.552,Horror,Horror|Romance|Sci-Fi,13,0.41
USR-00253,106.25,106.97,16.6,0.746,Animation,Animation|Sci-Fi,1,0.41
USR-00254,142.28,90.88,11.8,0.829,Horror,Horror,2,0.4
USR-00255,7.84,20.98,4.0,0.248,Comedy,Comedy|Animation,11,0.61
USR-00256,4.47,19.58,2.1,0.352,Action,Action|Sci-Fi,1,0.47
USR-00257,67.2,58.7,9.3,0.898,Documentary,Documentary|Horror|Drama,18,0.24
USR-00258,146.43,89.62,11.9,0.866,Sci-Fi,Sci-Fi|Action|Documentary,6,0.63
USR-00259,38.28,47.18,5.8,0.631,Action,Action|Romance|Comedy,16,0.8
USR-00260,146.57,116.09,14.4,0.849,Horror,Horror,8,0.77
USR-00261,11.91,27.99,1.1,0.112,Comedy,Comedy,12,0.48
USR-00262,25.75,22.49,5.6,0.524,Drama,Drama|Romance,15,0.76
USR-00263,141.49,88.12,15.2,0.874,Comedy,Comedy|Sci-Fi,11,0.45
USR-00264,73.03,125.8,4.6,0.978,Action,Action|Comedy,1,0.64
USR-00265,146.06,82.84,12.9,0.915,Romance,Romance|Animation|Thriller,12,0.44
USR-00266,29.14,49.87,5.3,0.344,Thriller,Thriller|Horror,25,0.77
USR-00267,144.4,89.04,11.2,0.824,Reality,Reality,23,0.6
USR-00268,83.09,68.99,6.8,0.811,Romance,Romance|Comedy,21,0.53
USR-00269,90.39,79.07,12.5,0.798,Thriller,Thriller|Reality,25,0.71
USR-00270,75.06,122.02,12.6,0.476,Drama,Drama|Sci-Fi|Documentary,29,0.73
USR-00271,109.55,114.55,9.4,0.96,Thriller,Thriller|Animation,3,0.61
USR-00272,68.23,27.79,14.2,0.906,Romance,Romance|Drama,17,0.44
USR-00273,45.38,53.14,6.0,0.873,Comedy,Comedy|Documentary|Reality|Thriller,18,0.67
USR-00274,9.91,19.6,2.2,0.394,Documentary,Documentary,18,0.52
USR-00275,56.37,35.24,5.1,0.871,Reality,Reality|Drama|Sci-Fi|Horror,7,0.72
USR-00276,14.78,29.73,8.4,0.807,Thriller,Thriller|Comedy,0,0.39
USR-00277,54.46,33.94,6.0,0.346,Thriller,Thriller|Action|Animation,6,0.69
USR-00278,69.42,143.3,2.4,0.923,Action,Action|Drama,18,0.31
USR-00279,73.35,214.6,4.1,0.953,Sci-Fi,Sci-Fi|Comedy,6,0.3
USR-00280,148.11,101.57,13.6,0.71,Action,Action|Sci-Fi|Documentary,20,0.62
USR-00281,114.84,113.59,13.7,0.842,Horror,Horror|Documentary,14,0.56
USR-00282,129.25,81.09,5.8,0.804,Thriller,Thriller|Animation|Reality,15,0.2
USR-00283,96.74,100.01,13.1,0.736,Documentary,Documentary,26,0.66
USR-00284,59.59,39.94,7.7,0.841,Horror,Horror|Documentary|Drama|Romance,26,0.54
USR-00285,70.97,53.04,5.2,0.815,Horror,Horror|Drama|Sci-Fi,9,0.29
USR-00286,97.29,86.78,17.7,0.882,Comedy,Comedy|Thriller,28,0.79
USR-00287,61.85,75.98,6.2,0.495,Reality,Reality|Animation|Thriller,27,0.45
USR-00288,46.89,38.86,3.8,0.625,Reality,Reality|Drama|Comedy,0,0.59
USR-00289,136.85,112.54,9.9,0.97,Animation,Animation|Sci-Fi|Drama,8,0.51
USR-00290,7.53,28.27,0.5,0.321,Romance,Romance,24,0.23
USR-00291,121.49,72.15,11.2,0.75,Drama,Drama|Thriller|Documentary,27,0.79
USR-00292,86.04,173.43,2.7,0.866,Action,Action|Comedy,1,0.34
USR-00293,104.69,66.19,14.7,0.826,Animation,Animation,23,0.74
USR-00294,9.15,28.25,0.5,0.316,Sci-Fi,Sci-Fi,9,0.55
USR-00295,94.26,126.87,2.3,0.841,Thriller,Thriller|Comedy,22,0.42
USR-00296,107.45,177.11,3.0,0.985,Comedy,Comedy|Action,1,0.32
USR-00297,10.16,19.82,1.7,0.204,Action,Action,3,0.21
USR-00298,8.52,23.58,0.5,0.284,Animation,Animation|Drama,29,0.47
USR-00299,16.19,20.39,2.4,0.345,Drama,Drama,19,0.23
USR-00300,13.55,33.05,1.0,0.077,Thriller,Thriller,12,0.47
USR-00301,119.96,100.18,11.2,0.939,Sci-Fi,Sci-Fi|Action,23,0.28
USR-00302,45.55,32.75,7.8,0.507,Romance,Romance|Documentary|Animation,5,0.26
USR-00303,53.78,57.05,5.6,0.527,Animation,Animation|Reality|Action|Sci-Fi,20,0.49
USR-00304,85.27,152.44,3.1,0.906,Drama,Drama|Thriller,24,0.32
USR-00305,51.92,36.28,6.9,0.687,Animation,Animation|Horror|Drama,14,0.77
USR-00306,45.03,25.44,9.3,0.447,Sci-Fi,Sci-Fi|Romance|Drama|Horror,29,0.43
USR-00307,2.6,36.16,2.2,0.311,Documentary,Documentary|Sci-Fi,25,0.6
USR-00308,43.62,38.52,4.1,0.577,Documentary,Documentary|Horror,15,0.21
USR-00309,118.19,149.92,8.8,0.833,Thriller,Thriller|Romance,11,0.22
USR-00310,49.91,53.55,8.8,0.856,Drama,Drama|Sci-Fi|Reality,7,0.46
USR-00311,20.23,41.48,3.1,0.733,Reality,Reality|Comedy|Romance|Documentary,8,0.4
USR-00312,96.52,113.93,14.7,0.98,Romance,Romance,22,0.75
USR-00313,45.73,40.87,6.7,0.83,Thriller,Thriller|Documentary,24,0.59
USR-00314,31.76,50.04,4.5,0.718,Action,Action|Horror,17,0.8
USR-00315,41.54,60.82,6.6,0.345,Animation,Animation|Documentary,6,0.62
USR-00316,52.31,26.38,3.0,0.54,Animation,Animation|Comedy,13,0.79
USR-00317,0.1,27.41,1.2,0.47,Documentary,Documentary,20,0.32
USR-00318,46.85,37.94,5.1,0.756,Comedy,Comedy|Animation|Romance,20,0.31
USR-00319,98.55,203.12,4.5,0.895,Sci-Fi,Sci-Fi|Drama,29,0.67
USR-00320,79.16,168.59,4.4,0.675,Drama,Drama|Action,0,0.47
USR-00321,47.02,40.33,8.7,0.83,Drama,Drama|Action|Romance,24,0.69
USR-00322,64.95,16.03,6.5,0.785,Action,Action|Reality,15,0.3
